w	q	simula	formula	variable
2.0	0.16	0.04629	0.03932	q
2.0	0.18	0.04512	0.03676	q
2.0	0.08	0.04922	0.03913	q
2.0	0.72	0.03105	0.02548	q
2.0	0.3	0.04199	0.03349	q
7.6	0.1	0.03379	0.02788	w
2.0	0.52	0.03516	0.02856	q
2.0	0.1	0.04824	0.03977	q
2.0	0.34	0.03965	0.03277	q
2.0	0.54	0.03418	0.02810	q
2.0	0.42	0.03672	0.03041	q
2.0	0.2	0.04355	0.03522	q
5.4	0.1	0.03789	0.03009	w
6.4	0.1	0.03555	0.02821	w
2.0	0.74	0.03066	0.02507	q
2.2	0.1	0.04746	0.03806	w
2.0	0.7	0.03145	0.02575	q
2.0	0.86	0.02754	0.02135	q
2.0	0.76	0.02969	0.02352	q
1.8	0.1	0.04863	0.03832	w
2.0	0.46	0.03691	0.03055	q
4.6	0.1	0.03945	0.03224	w
2.0	0.48	0.03574	0.02929	q
4.4	0.1	0.04004	0.03192	w
3.8	0.1	0.04121	0.03401	w
6.6	0.1	0.03633	0.02964	w
2.0	0.32	0.04043	0.03381	q
3.6	0.1	0.04297	0.03489	w
5.2	0.1	0.03730	0.02963	w
4.0	0.1	0.04004	0.03212	w
2.0	0.56	0.03535	0.02884	q
2.4	0.1	0.04668	0.03883	w
2.0	0.36	0.04004	0.03378	q
2.0	0.68	0.03223	0.02727	q
2.0	0.04	0.05068	0.04292	q
6.8	0.1	0.03301	0.02546	w
4.2	0.1	0.04102	0.03372	w
2.0	0.58	0.03379	0.02741	q
2.0	0.26	0.04160	0.03468	q
5.8	0.1	0.03652	0.03024	w
2.0	0.24	0.04316	0.03661	q
2.0	0.14	0.04648	0.03914	q
2.0	0.78	0.02891	0.02389	q
2.0	0.22	0.04355	0.03486	q
4.8	0.1	0.03867	0.03069	w
7.4	0.1	0.03418	0.02659	w
1.2	0.1	0.05205	0.04230	w
2.0	0.84	0.02988	0.02450	q
7.0	0.1	0.03340	0.02714	w
2.0	0.38	0.03906	0.03229	q
2.8	0.1	0.04512	0.03670	w
2.0	0.5	0.03574	0.02948	q
3.2	0.1	0.04512	0.03713	w
2.0	0.62	0.03340	0.02769	q
5.0	0.1	0.03906	0.03178	w
2.0	0.64	0.03242	0.02619	q
2.0	0.8	0.02969	0.02434	q
2.0	0.66	0.03359	0.02782	q
2.0	0.4	0.03906	0.03136	q
1.0	0.1	0.05195	0.04052	w
6.0	0.1	0.03574	0.02791	w
2.0	0.28	0.04121	0.03407	q
3.0	0.1	0.04336	0.03478	w
7.2	0.1	0.03340	0.02482	w
2.6	0.1	0.04551	0.03620	w
2.0	0.6	0.03262	0.02613	q
2.0	0.12	0.04707	0.03909	q
3.4	0.1	0.04336	0.03596	w
2.0	0.44	0.03730	0.03054	q
6.2	0.1	0.03613	0.02914	w
2.0	0.06	0.04980	0.04011	q
2.0	0.0	0.05322	0.04498	q
2.0	0.82	0.02871	0.02176	q
5.6	0.1	0.03711	0.03022	w
7.8	0.1	0.03281	0.02456	w
2.0	0.88	0.02813	0.02337	q
2.0	0.1	0.04922	0.04049	w
1.4	0.1	0.05127	0.04305	w
1.6	0.1	0.04971	0.04147	w
2.0	0.02	0.05049	0.04131	q
