w	q	simula	formula	variable
5.4	0.1	0.08350	0.07697	w
2.0	0.36	0.08428	0.08106	q
3.2	0.1	0.09580	0.09146	w
2.0	0.1	0.10449	0.10126	w
2.0	0.18	0.09756	0.09468	q
5.2	0.1	0.08486	0.07850	w
6.8	0.1	0.07803	0.07008	w
2.8	0.1	0.09678	0.09366	w
2.0	0.16	0.09902	0.09554	q
2.0	0.4	0.08350	0.08009	q
6.2	0.1	0.08096	0.07315	w
2.0	0.72	0.06787	0.06444	q
2.0	0.68	0.07021	0.06680	q
4.4	0.1	0.08896	0.08334	w
2.0	0.2	0.09521	0.09231	q
7.0	0.1	0.07764	0.06947	w
2.0	0.78	0.06553	0.06213	q
2.0	0.58	0.07393	0.07072	q
3.6	0.1	0.09336	0.08848	w
2.0	0.74	0.06768	0.06420	q
2.0	0.7	0.06865	0.06526	q
3.0	0.1	0.09639	0.09277	w
2.0	0.88	0.06221	0.05881	q
2.0	0.06	0.10723	0.10448	q
7.6	0.1	0.07666	0.06709	w
2.0	0.34	0.08721	0.08350	q
4.8	0.1	0.08652	0.08047	w
2.6	0.1	0.09873	0.09538	w
2.0	0.66	0.07021	0.06734	q
2.0	0.82	0.06523	0.06171	q
2.0	0.5	0.07842	0.07469	q
2.0	0.54	0.07588	0.07250	q
2.0	0.26	0.09121	0.08806	q
2.0	0.62	0.07158	0.06841	q
3.8	0.1	0.09150	0.08657	w
6.0	0.1	0.08115	0.07364	w
7.4	0.1	0.07637	0.06789	w
2.0	0.64	0.07158	0.06817	q
2.0	0.84	0.06318	0.06033	q
5.6	0.1	0.08291	0.07554	w
1.4	0.1	0.10898	0.10642	w
2.0	0.24	0.09336	0.09020	q
1.2	0.1	0.11270	0.11033	w
4.2	0.1	0.08975	0.08437	w
5.0	0.1	0.08574	0.07956	w
4.6	0.1	0.08750	0.08175	w
3.4	0.1	0.09385	0.08918	w
6.4	0.1	0.08008	0.07240	w
2.0	0.3	0.08945	0.08566	q
2.0	0.22	0.09463	0.09104	q
2.0	0.12	0.10156	0.09869	q
4.0	0.1	0.09121	0.08566	w
2.0	0.6	0.07266	0.06937	q
2.0	0.1	0.10449	0.10153	q
7.8	0.1	0.07568	0.06652	w
2.0	0.38	0.08350	0.08036	q
5.8	0.1	0.08213	0.07476	w
1.6	0.1	0.10723	0.10487	w
7.2	0.1	0.07754	0.06850	w
1.0	0.1	0.11348	0.11108	w
2.0	0.14	0.10117	0.09815	q
2.0	0.56	0.07451	0.07112	q
2.0	0.42	0.08252	0.07893	q
2.0	0.52	0.07598	0.07290	q
6.6	0.1	0.07939	0.07154	w
1.8	0.1	0.10586	0.10302	w
2.0	0.76	0.06592	0.06308	q
2.0	0.32	0.08799	0.08481	q
2.0	0.04	0.11055	0.10721	q
2.0	0.48	0.07891	0.07525	q
2.0	0.28	0.09082	0.08715	q
2.0	0.8	0.06465	0.06161	q
2.0	0.46	0.07881	0.07540	q
2.0	0.44	0.08066	0.07710	q
2.0	0.08	0.10527	0.10243	q
2.0	0.0	0.11309	0.11098	q
2.4	0.1	0.10078	0.09763	w
2.0	0.86	0.06211	0.05927	q
2.0	0.02	0.11133	0.10902	q
2.2	0.1	0.10234	0.09918	w
