w	q	simula	formula	variable
2.0	0.6	0.08330	0.07576	q
5.0	0.1	0.09893	0.08657	w
2.0	0.12	0.11660	0.10808	q
2.8	0.1	0.11191	0.10264	w
1.0	0.1	0.12949	0.12119	w
2.0	0.32	0.09980	0.09174	q
2.0	0.72	0.07783	0.07048	q
2.0	0.78	0.07471	0.06806	q
4.0	0.1	0.10410	0.09324	w
1.6	0.1	0.12266	0.11424	w
2.6	0.1	0.11387	0.10437	w
2.0	0.36	0.09717	0.08905	q
6.4	0.1	0.09248	0.07866	w
2.0	0.46	0.09111	0.08298	q
2.0	0.88	0.07139	0.06441	q
1.4	0.1	0.12441	0.11650	w
2.0	0.16	0.11348	0.10445	q
2.0	0.52	0.08740	0.07959	q
2.0	0.8	0.07383	0.06721	q
7.8	0.1	0.08721	0.07214	w
2.0	0.0	0.12930	0.12120	q
2.0	0.82	0.07354	0.06663	q
2.0	0.56	0.08545	0.07759	q
2.0	0.02	0.12637	0.11878	q
2.0	0.48	0.08975	0.08186	q
2.0	0.38	0.09521	0.08778	q
6.2	0.1	0.09287	0.07971	w
2.4	0.1	0.11543	0.10629	w
2.0	0.62	0.08193	0.07477	q
5.8	0.1	0.09443	0.08180	w
2.0	0.1	0.11895	0.11008	q
2.0	0.34	0.09834	0.09039	q
5.2	0.1	0.09736	0.08532	w
2.0	0.06	0.12266	0.11428	q
2.0	0.58	0.08447	0.07671	q
2.0	0.3	0.10176	0.09319	q
2.0	0.7	0.07861	0.07127	q
6.6	0.1	0.09131	0.07765	w
2.0	0.84	0.07266	0.06578	q
4.6	0.1	0.10078	0.08905	w
1.2	0.1	0.12637	0.11866	w
2.0	0.2	0.10977	0.10101	q
2.0	0.64	0.08154	0.07388	q
2.0	0.44	0.09229	0.08416	q
2.0	0.68	0.07920	0.07207	q
3.6	0.1	0.10605	0.09616	w
2.0	0.26	0.10488	0.09617	q
7.4	0.1	0.08867	0.07387	w
2.0	0.54	0.08691	0.07869	q
6.8	0.1	0.09082	0.07669	w
2.0	0.74	0.07676	0.06961	q
3.0	0.1	0.11035	0.10098	w
2.0	0.66	0.08037	0.07295	q
7.0	0.1	0.08926	0.07572	w
5.6	0.1	0.09561	0.08298	w
2.0	0.14	0.11465	0.10627	q
2.0	0.18	0.11152	0.10268	q
1.8	0.1	0.12070	0.11220	w
2.0	0.42	0.09326	0.08527	q
5.4	0.1	0.09639	0.08414	w
2.0	0.28	0.10352	0.09472	q
3.8	0.1	0.10527	0.09461	w
6.0	0.1	0.09375	0.08074	w
2.0	0.4	0.09473	0.08654	q
2.0	0.86	0.07217	0.06517	q
3.2	0.1	0.10938	0.09920	w
2.0	0.76	0.07598	0.06883	q
2.0	0.5	0.08867	0.08076	q
4.2	0.1	0.10273	0.09177	w
2.0	0.1	0.11836	0.11017	w
7.6	0.1	0.08730	0.07298	w
3.4	0.1	0.10781	0.09772	w
7.2	0.1	0.08916	0.07478	w
4.8	0.1	0.09922	0.08783	w
2.0	0.22	0.10762	0.09926	q
2.0	0.04	0.12441	0.11637	q
2.2	0.1	0.11699	0.10807	w
2.0	0.08	0.12012	0.11209	q
4.4	0.1	0.10137	0.09039	w
2.0	0.24	0.10684	0.09781	q
